 0 (adj),WISE (HAZY)
WISE (HAZY), 0 (adj)
1 (adj),WHITE (WET HOT WEIRD)
WHITE (WET HOT WEIRD), 1 (adj)
2 (adj),HONEY (HAWAIIAN WINY WORN)
HONEY (HAWAIIAN WINY WORN), 2 (adj)
3 (adj),YUMMY (HOMO)
YUMMY (HOMO), 3 (adj)
4 (adj),RAW (WEARY HAIRY)
RAW (WEARY HAIRY), 4 (adj)
5 (adj),YELLOW (HOLY)
YELLOW (HOLY), 5 (adj)
6 (adj),HUGE (SHY)
HUGE (SHY), 6 (adj)
7 (adj),YUCKY (QUEER WEAK ICKY)
YUCKY (QUEER WEAK ICKY), 7 (adj)
8 (adj),WAVY (WAIF)
WAVY (WAIF), 8 (adj)
9 (adj),HAPPY (WEEPY HYPER)
HAPPY (WEEPY HYPER), 9 (adj)
00 (adj),SAUCY
SAUCY, 00 (adj)
01 (adj),SOOTY
SOOTY, 01 (adj)
02 (adj),SOON
SOON, 02 (adj)
03 (adj),AWESOME
AWESOME, 03 (adj)
04 (adj),SORE
SORE, 04 (adj)
05 (adj),SILLY
SILLY, 05 (adj)
06 (adj),SWISHY
SWISHY, 06 (adj)
07 (adj),SAGGY
SAGGY, 07 (adj)
08 (adj),SUAVE
SUAVE, 08 (adj)
09 (adj),SAPPY
SAPPY, 09 (adj)
10 (adj),DIZZY
DIZZY, 10 (adj)
11 (adj),DIE-HARD (TIDY)
DIE-HARD (TIDY), 11 (adj)
12 (adj),TINY
TINY, 12 (adj)
13 (adj),DUMB
DUMB, 13 (adj)
14 (adj),DRY
DRY, 14 (adj)
15 (adj),DULL
DULL, 15 (adj)
16 (adj),TOUCHY
TOUCHY, 16 (adj)
17 (adj),AD HOC
AD HOC, 17 (adj)
18 (adj),DAFFY (TOUGH)
DAFFY (TOUGH), 18 (adj)
19 (adj),TABOO (DOPEY)
TABOO (DOPEY), 19 (adj)
20 (adj),UNEASY (NICS)
UNEASY (NICS), 20 (adj)
21 (adj),NEAT (NUTTY)
NEAT (NUTTY), 21 (adj)
22 (adj),INANE (NEON)
INANE (NEON), 22 (adj)
23 (adj),ENEMY (NUMB)
ENEMY (NUMB), 23 (adj)
24 (adj),NARROW
NARROW, 24 (adj)
25 (adj),UNHOLY (ANAL)
UNHOLY (ANAL), 25 (adj)
26 (adj),NESH
NESH, 26 (adj)
27 (adj),UNIQUE (HUNKY INKY)
UNIQUE (HUNKY INKY), 27 (adj)
28 (adj),NIAVE
NIAVE, 28 (adj)
29 (adj),KNOBBY
KNOBBY, 29 (adj)
30 (adj),MESSY (MOSSY)
MESSY (MOSSY), 30 (adj)
